PARTICIPANT,AGE OF ACQUISITION,PROFICIENCY GROUP,PROFICIENCY TEST SCORE,FPZ,CPZ,FP2,F7,FC4,CP3,P4,O1,FZ,PZ,C4,F4,FT8,TP7,T6,O2,FCZ,FP1,F3,F8,C3,CP4,P3,OZ,CZ,FC3,FT7,T4,T3,TP6,T5
40,14,INTERMEDIATE,36,-8.782126427,5.36384201,-14.2433157,-5.596523762,2.025613308,4.852219582,6.590263844,5.23283577,-1.349859238,6.296208858,4.355212212,-1.746608257,2.404342413,4.455848217,4.596714497,5.68856144,2.276048899,-15.35053349,-4.291455269,-2.525150061,3.576538324,5.654398441,6.169331551,4.933852196,4.895530701,0.031641111,-0.915420711,5.221675396,1.785344601,4.294806004,3.545070648
41,13,INTERMEDIATE,37,-4.85756731,4.064660549,-4.950518131,-5.172584057,0.083178863,4.726590633,6.051953316,3.81106329,-2.720884085,6.191987514,2.213694096,-2.345472813,-1.777810335,2.105000496,5.069036961,4.644168854,-1.47824502,-5.375227451,-3.88133049,-2.61334157,2.334686995,4.306798458,6.037735939,4.078231812,0.923103929,-1.757415891,-3.085893393,-0.398414552,-0.755016804,1.614530444,3.976355314
42,12,INTERMEDIATE,31,4.702286243,10.30422211,-12.02412987,-8.953123093,4.0930233,8.726882935,6.243817806,7.918291569,1.129915953,10.68647766,7.086751461,-0.791450977,-0.757477105,8.445755959,3.541545391,4.964656353,6.127157688,-25.14028358,1.176347017,2.955215931,7.175123215,7.507378101,9.321249008,6.168533325,10.18028164,4.844675541,0.261266202,1.695986509,5.637629032,3.043616295,7.41258049
43,12,INTERMEDIATE,35,-4.774481773,5.955217838,-7.929124832,0.085596941,3.464373827,7.432986736,4.391859055,4.303259373,3.397558689,5.571070194,4.366747379,1.203899622,1.081964254,4.878230095,2.446243763,2.291636944,5.532810211,-5.669751167,2.14908886,-1.768516898,6.064451694,5.514636517,8.322505951,2.969684601,5.76627636,4.937899113,2.41633606,1.687049031,3.552919388,2.338051081,6.010330677
44,17,INTERMEDIATE,35,-0.977486551,7.626863956,-1.422082901,-0.272061408,2.483400583,7.138831615,7.407578945,3.588881969,1.827632904,8.524404526,6.003204823,1.081959605,2.521012545,3.72490406,4.52324152,4.284072876,3.306120634,-0.943238616,1.22038579,1.104789257,5.261804581,7.325017929,7.136977196,4.08671999,5.97002697,2.947887421,2.127446413,3.458671093,3.431927681,4.254545212,3.785218477
45,12,INTERMEDIATE,39,-12.89442444,3.202594757,-14.16751766,-7.151439667,-0.192944497,2.921149492,7.129532337,6.439201355,-5.361497879,5.693232059,3.198522806,-4.604358196,-0.410788924,2.848613262,7.31528759,8.240792274,-1.857266545,-15.23631763,-6.041770458,-4.353202343,0.446821302,5.538053513,4.596745014,6.821434498,1.166266799,-3.002671957,-3.043915749,2.374381542,0.510523915,4.946586609,4.431315422
46,15,INTERMEDIATE,38,-4.756187916,5.424162865,-4.657661438,-3.546506882,3.722756863,5.578036785,5.508864403,0.726831913,4.500947952,4.939284325,5.124172211,2.639989614,2.13297987,1.55927217,3.396924019,1.065417171,7.681942463,-5.348631382,2.564350128,-0.464728475,5.35612011,5.619835854,4.349436283,0.421259314,6.322082996,4.698637486,-1.040246606,3.541142225,1.745691061,4.128177643,5.075982571
47,15,INTERMEDIATE,34,-4.986392021,4.145105839,-5.600224495,-6.009629726,2.078677177,3.142309904,4.103347778,3.088094234,1.76657784,5.158979416,3.378282785,0.586627245,1.531803727,1.175350547,3.011686802,3.032544851,3.340310097,-5.844560623,-0.723551214,-0.080693834,2.292305231,3.596026421,3.938793182,3.087449312,3.434238434,0.86715436,-2.461076498,1.741634846,-0.098349474,2.534462929,1.719470739
48,13,INTERMEDIATE,35,-4.107201099,9.744416237,-4.33761549,1.161103606,5.353898048,11.26755333,9.417434692,12.4799509,3.215003729,11.35955143,6.997281551,2.86422658,2.629189491,8.109321594,4.637206078,10.14891434,6.121735573,-4.5691576,4.39277792,0.887004077,9.725440979,8.217673302,12.64505672,10.82844448,8.623646736,8.023258209,3.967294455,2.773610592,5.757386208,3.27589798,10.66626072
49,14,INTERMEDIATE,31,-5.378912926,5.435741425,-6.153113365,-2.793560028,2.0692451,5.025783539,6.077586651,7.919873714,1.284249187,6.970134258,3.394519567,0.964569211,-0.407329768,2.221836805,3.450325012,6.778186321,3.154493809,-6.706603527,-0.036174711,-1.671698689,3.732998371,4.757187366,6.781274796,7.096772194,4.009618759,1.91988647,-0.944820762,0.467034757,0.503370941,1.236872196,4.921408653
50,10,INTERMEDIATE,35,0.716909587,3.656560898,0.34864825,1.053012848,4.185452938,3.438316584,3.96559453,0.137751579,2.94888258,3.398250818,3.950436592,3.464856148,2.98132062,1.517124295,2.24879694,1.110850453,3.180431366,-0.287096918,2.833201408,2.896138191,3.416549206,3.976251125,3.31191802,0.044602182,3.001459837,3.055630684,2.081691027,3.364674568,2.068396568,3.122035027,0.803439379
51,13,LOW,24,-0.753605306,-2.588016033,0.16509226,-3.129828691,0.431328535,-0.304961383,-0.642728686,1.357570052,-0.169058099,-1.228570461,-0.321268201,1.291474223,0.736983895,-0.384329975,0.875462949,0.292284399,-0.7550143,-2.065914869,-1.492621064,2.232013702,-0.843875945,-0.710587859,0.019347327,0.834245861,-2.102277756,-1.561858416,0.312889129,0.316929519,-1.41734767,-0.086798273,1.102118611
52,13,LOW,27,-5.490283489,8.348621368,-5.780448914,-2.516714811,3.360104799,8.823209763,9.765413284,8.409561157,1.48776567,10.44292831,5.999544144,1.788706183,3.820373297,3.340779066,6.638996601,6.442836285,3.366828203,-6.431842804,-0.544495046,2.538259268,5.780734539,8.533799171,10.93211937,5.532175064,5.108346462,1.803734064,0.584436953,3.615339041,1.732171297,5.018401146,7.007598877
53,15,LOW,25,-4.964969158,5.032540321,-4.587152004,-4.290763378,5.073338509,3.218195677,3.463121414,0.297385842,1.999293327,4.750793457,4.364327431,3.012224197,3.494847536,0.892164052,0.8527565,0.79140383,3.35649085,-6.862057686,0.022980092,3.458798647,3.388008833,4.122772694,3.534441948,0.680534124,4.303740025,2.654531479,-0.70248121,3.171220541,0.337920576,1.749219656,-0.507128954
54,20,LOW,19,-2.093505144,-0.628742814,-3.537124872,-2.496254444,1.704532146,1.666476846,0.580943584,-0.416862994,1.321527481,-0.235172644,1.058790088,-0.049216844,0.156804234,0.54500109,-2.034418821,-2.092757225,0.370998204,-1.869501829,-0.653602898,-0.814014614,0.81233871,1.171761751,1.872039437,-1.727645159,-0.526669323,-0.101764068,-1.473228216,-0.185087979,-0.106881887,-1.036872983,0.580406249
55,8,LOW,15,-0.947762549,-1.086452961,-1.721244454,-0.50736016,-1.276868582,0.382537216,-0.550656617,-1.065684199,-0.858047903,-0.595716119,-0.902837038,-1.175348639,-1.502988577,0.897158027,-0.690205693,-0.565062344,-1.542755842,-1.017491817,0.2483318,-1.253763199,0.151320741,-0.530083477,0.101223655,-0.848754704,-1.344620585,0.186461806,-0.022289263,-1.154550076,0.77889955,-0.383747011,0.603867173
56,16,LOW,12,-3.190981627,0.570986688,-4.064387798,-0.86582756,-0.574942648,0.35194394,-0.17843987,0.848489046,-1.595232725,0.58178407,-1.044652104,-1.280929923,-1.597024918,-0.190162584,0.242225394,0.418352604,0.856630683,-2.71081996,-1.256687164,-1.914033294,0.04411618,-0.56709528,0.823489308,0.604973853,0.818183064,-0.066707984,-0.70390141,-1.603092313,-0.117846087,-1.136568069,0.485203177
57,13,LOW,24,1.537081599,3.382369518,-0.571201444,-1.695340872,2.555296183,3.595490694,2.821128607,2.368955135,1.460021019,4.378928661,2.537523985,2.536420584,1.919882774,2.592373371,1.048296213,1.805750966,1.599600315,-0.534980416,0.767632127,1.866597533,2.772897005,2.958744764,3.733301401,1.960419536,2.137051821,1.985536098,0.019909833,2.028924227,1.198707104,1.287831426,2.576738358
